species_name,biogeog,taxon,class,max_depth,max_length,lat_span_degrees,t_mean,chl_mean,endemism,IUCN,IUCN_category,date_assessed
Sagmariasus verreauxi,cool (temperate),Invertebrate,Malacostraca,220,61,NA,NA,NA,non-endemic,Least Concern,Not applicable,3/12/2009
Sassia parkinsonia,warm (temperate),Invertebrate,Gastropoda,150,5,13.15818,19.06532112,1.563189564,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Scutus antipodes,cool (temperate),Invertebrate,Gastropoda,20,10,13.21584,17.31081036,1.097659922,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Stenopus hispidus,tropical,Invertebrate,Malacostraca,112,9,24.06561,22.63698281,0.670060038,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Stichopus ludwigi,warm (temperate),Invertebrate,Holothuroidea,25,13,13.07208,19.71271906,1.362624878,endemic,Data Deficient,Not applicable,18/05/2010
Strigopagurus strigimanus,cool (temperate),Invertebrate,Malacostraca,220,13,13.52378,15.3111533,1.195495335,endemic,Not Evaluated,Not applicable,Not Evaluated
Tambja verconis,cool (temperate),Invertebrate,Gastropoda,36,13,NA,NA,NA,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Tectus pyramis,tropical,Invertebrate,Gastropoda,17,4,22.05899,26.12715422,0.565673142,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Tosia australis,cool (temperate),Invertebrate,Asteroidea,40,10,14.8152,16.05272935,1.097073756,endemic,Not Evaluated,Not applicable,Not Evaluated
Tosia magnifica,cool (temperate),Invertebrate,Asteroidea,200,9,10.49518,15.22747713,1.287188689,endemic,Not Evaluated,Not applicable,Not Evaluated
Tridacna crocea,tropical,Invertebrate,Bivalvia,20,15,21.6438,26.88723331,0.431943985,non-endemic,Least Concern,Not applicable,1/08/1996
Tridacna maxima,tropical,Invertebrate,Bivalvia,35,35,21.67468,26.41913692,0.529372203,non-endemic,Lower Risk/conservation dependent,Not applicable,1/08/1996
Tridacna squamosa,tropical,Invertebrate,Bivalvia,26,41,14.02089,26.95111898,0.58071622,non-endemic,Lower Risk/conservation dependent,Not applicable,1/08/1996
Turbo argyrostomus,tropical,Invertebrate,Gastropoda,30,8,18.89553,25.98918983,0.554354492,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Turbo cepoides,warm (temperate),Invertebrate,Gastropoda,21,10,5.66629,21.49942047,0.514320004,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Turbo imperialis,warm (temperate),Invertebrate,Gastropoda,15,7.5,3.97395,21.42044679,1.196707046,endemic,Not Evaluated,Not applicable,Not Evaluated
Turbo jourdani,warm (temperate),Invertebrate,Gastropoda,40,20,5.6201,20.34579006,0.595409355,endemic,Not Evaluated,Not applicable,Not Evaluated
Turbo kenwilliamsi,warm (temperate),Invertebrate,Gastropoda,40,8,6.01105,20.79749261,0.632854653,endemic,Not Evaluated,Not applicable,Not Evaluated
Turbo militaris,warm (temperate),Invertebrate,Gastropoda,7,15,5.31077,21.14908474,1.227577945,endemic,Not Evaluated,Not applicable,Not Evaluated
Umbraculum umbraculum,warm (temperate),Invertebrate,Gastropoda,275,20,NA,NA,NA,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Uniophora granifera,cool (temperate),Invertebrate,Asteroidea,30,24,13.37835,16.71762682,1.176451904,endemic,Not Evaluated,Not applicable,Not Evaluated
Galaxaura obtusata,tropical,Macroalgae,Red algae,20,14,NA,NA,NA,endemic,Not Evaluated,Not applicable,Not Evaluated
