site_code,latitude,longitude
GSV40,-35.5714,138.61166
GSV55,-35.740829999999995,138.03985
JMP-S19,-30.70928,115.11806
JMP-S20,-30.72203,115.1507
JMP-S33,-30.44763,114.99133
JMP-S34,-30.5145,115.01366000000002
JMP-S40,-30.76675,115.14197
JMP-S41,-30.712020000000003,115.11322
JMP-S42,-30.290429999999997,114.96651
JMP-S42,-30.29043,114.96651
NCMP-S13,-34.26227,115.02475
NCMP-S14,-34.26314,115.0233
NCMP-S16,-34.10309,114.98853
NCMP-S17,-34.10273,114.98992
NCMP-S4,-33.53135,115.00146
RI20,-31.99976,115.46846
WA18,-33.59231,115.23128
BMP-S11,-35.75073,150.25915
BMP-S14,-35.83457,150.20885
BMP-S17,-35.80453,150.23346999999998
BMP-S17,-35.80453,150.23347
BMP-S18,-35.72811,150.2645
BMP-S19,-35.72235,150.27454
BMP-S20,-35.7203,150.24788999999998
BMP-S20,-35.7203,150.24789
BMP-S22,-35.78389,150.23465
BMP-S27,-35.68546,150.30408
BMP-S29,-35.66796,150.31036
BMP29,-35.861999999999995,150.18527
BMP29,-35.862,150.18527
BMP32,-35.83289,150.22128
BR10,-37.81811,148.78479
BR4,-37.82143,148.78645
CHMP-S9,-37.55564,149.90763
NSW34,-35.322109999999995,150.48372
GSV127,-34.8471,138.44595
LHI35,-31.5231,159.07723
LHI37,-31.5113,159.05615
JMP-S7,-30.17125,114.9555
LHI21,-31.5954,159.07875
LHI46,-31.54218,159.10646
JMP-S15,-30.15678,114.96685
JMP-S16,-30.66885,115.12193
JMP-S28,-30.589129999999997,115.04887
JMP-S31,-30.16917,114.94217
JMP-S35,-30.34667,115.004
RI14,-32.02967,115.53069
RI18,-32.02078,115.5477
RI19,-31.9891,115.5159
JMP-S11,-30.19647,114.9886
JMP-S18,-30.75415,115.16956
JMP-S21,-30.62077,115.10239
JMP-S27,-30.6255,115.11337
JMP-S29,-30.67167,115.13564
JMP-S30,-30.6462,115.1239
NCMP-S15,-34.251259999999995,115.02556
