"site_code","survey_year","species_name","percent_cover","sqrt_pcover","latitude","longitude","n_sites_byspp","n_obs_byspp","transect_id","n_site_species"
"LHI18",2010,"Astrea curta",2.2,1.48323969741913,-31,159,5,207,"LHI18_2010",5
"LHI27",2009,"Pocillopora damicornis",5.3,2.30217288664427,-32,159,6,459,"LHI27_2009",6
"LHI27",2009,"Porites heronensis",0,0,NA,NA,6,134,"LHI27_2009",6
"LHI27",2009,"Stylophora pistillata",0,0,NA,NA,6,576,"LHI27_2009",6
"LHI27",2010,"Pocillopora damicornis",0,0,NA,NA,6,459,"LHI27_2010",6
"LHI27",2010,"Porites heronensis",1.33333333333333,1.15470053837925,-32,159,6,134,"LHI27_2010",6
"LHI27",2010,"Stylophora pistillata",8.8,2.96647939483827,-32,159,6,576,"LHI27_2010",6
"LHI3",2009,"Isopora cuneata",9.35,3.05777697028413,-32,159,7,139,"LHI3_2009",7
"LHI3",2009,"Porites heronensis",3.55,1.88414436814168,-32,159,7,134,"LHI3_2009",7
"LHI3",2009,"Stylophora pistillata",0,0,NA,NA,7,576,"LHI3_2009",7
"LHI3",2009,"Pocillopora damicornis",0,0,NA,NA,7,459,"LHI3_2009",7
"LHI38",2009,"Pocillopora damicornis",1,1,-32,159,7,459,"LHI38_2009",7
"LHI38",2009,"Stylophora pistillata",1,1,-32,159,7,576,"LHI38_2009",7
"LHI38",2010,"Pocillopora damicornis",9,3,-32,159,7,459,"LHI38_2010",7
"LHI38",2010,"Stylophora pistillata",4.825,2.19658826364888,-32,159,7,576,"LHI38_2010",7
"LHI49",2010,"Isopora cuneata",3,1.73205080756888,-32,159,6,139,"LHI49_2010",6
"LHI49",2010,"Pocillopora damicornis",1,1,-32,159,6,459,"LHI49_2010",6
"LHI49",2010,"Stylophora pistillata",1.5,1.22474487139159,-32,159,6,576,"LHI49_2010",6
"LHI49",2010,"Porites heronensis",1.6,1.26491106406735,-32,159,6,134,"LHI49_2010",6
"LHI49",2010,"Acropora glauca",5.5,2.34520787991171,-32,159,6,98,"LHI49_2010",6
"LHI49",2010,"Seriatopora caliendrum",0,0,NA,NA,6,212,"LHI49_2010",6
"LHI5",2009,"Isopora cuneata",1.1,1.04880884817015,-32,159,7,139,"LHI5_2009",7
"LHI5",2009,"Pocillopora damicornis",3.2,1.78885438199983,-32,159,7,459,"LHI5_2009",7
"LHI5",2009,"Porites heronensis",5.325,2.30759615184287,-32,159,7,134,"LHI5_2009",7
"LHI5",2009,"Stylophora pistillata",2.06666666666667,1.43759057685652,-32,159,7,576,"LHI5_2009",7
"LHI5",2009,"Seriatopora caliendrum",3,1.73205080756888,-32,159,7,212,"LHI5_2009",7
"LHI5",2009,"Acropora hyacinthus",0,0,NA,NA,7,288,"LHI5_2009",7
"LHI5",2009,"Montipora aequituberculata",0,0,NA,NA,7,90,"LHI5_2009",7
"LHI5",2010,"Isopora cuneata",3,1.73205080756888,-32,159,7,139,"LHI5_2010",7
"LHI5",2010,"Pocillopora damicornis",2.33333333333333,1.52752523165195,-32,159,7,459,"LHI5_2010",7
"LHI5",2010,"Porites heronensis",6.57142857142857,2.56347977784662,-32,159,7,134,"LHI5_2010",7
"LHI5",2010,"Stylophora pistillata",2.66666666666667,1.63299316185545,-32,159,7,576,"LHI5_2010",7
"LHI5",2010,"Seriatopora caliendrum",2,1.4142135623731,-32,159,7,212,"LHI5_2010",7
"LHI5",2010,"Acropora hyacinthus",0,0,NA,NA,7,288,"LHI5_2010",7
"LHI5",2010,"Montipora aequituberculata",0,0,NA,NA,7,90,"LHI5_2010",7
"LHI7",2009,"Acanthastrea hillae",2.2,1.48323969741913,-32,159,6,88,"LHI7_2009",6
"LHI7",2009,"Astrea curta",1.1,1.04880884817015,-32,159,6,207,"LHI7_2009",6
"LHI7",2009,"Porites heronensis",0,0,NA,NA,6,134,"LHI7_2009",6
"SI6",2011,"Acropora glauca",1.55,1.24498995979887,-30,153,4,98,"SI6_2011",4
"SI6",2011,"Goniastrea australensis",3.1,1.7606816861659,-30,153,4,154,"SI6_2011",4
"SI6",2011,"Turbinaria mesenterina",2.05,1.43178210632764,-30,153,4,72,"SI6_2011",4
"NMP11",2010,"Montipora aequituberculata",1,1,-23,114,4,90,"NMP11_2010",4
"NMP20",2010,"Goniastrea pectinata",1,1,-23,114,4,379,"NMP20_2010",4
"NMP6",2010,"Porites annae",13.5,3.67423461417477,-23,114,4,63,"NMP6_2010",4
"NMP6",2010,"Montipora aequituberculata",2,1.4142135623731,-23,114,4,90,"NMP6_2010",4
"NMP-S3",2010,"Porites annae",1,1,-23,114,4,63,"NMP-S3_2010",4
"NMP-S3",2010,"Seriatopora caliendrum",2,1.4142135623731,-23,114,4,212,"NMP-S3_2010",4
"LHI27",2012,"Pocillopora damicornis",0,0,NA,NA,6,459,"LHI27_2012",6
"LHI27",2012,"Porites heronensis",1,1,-32,159,6,134,"LHI27_2012",6
"LHI27",2012,"Stylophora pistillata",1,1,-32,159,6,576,"LHI27_2012",6
"LHI36",2012,"Isopora cuneata",1.5,1.22474487139159,-32,159,4,139,"LHI36_2012",4
"LHI36",2012,"Pocillopora damicornis",8,2.82842712474619,-32,159,4,459,"LHI36_2012",4
"LHI38",2012,"Pocillopora damicornis",1,1,-32,159,7,459,"LHI38_2012",7
"LHI38",2012,"Stylophora pistillata",1,1,-32,159,7,576,"LHI38_2012",7
"LHI5",2012,"Isopora cuneata",4,2,-32,159,7,139,"LHI5_2012",7
"LHI5",2012,"Pocillopora damicornis",4.06666666666667,2.01659779496722,-32,159,7,459,"LHI5_2012",7
"LHI5",2012,"Porites heronensis",7.775,2.78836869871974,-32,159,7,134,"LHI5_2012",7
"LHI5",2012,"Stylophora pistillata",1.33333333333333,1.15470053837925,-32,159,7,576,"LHI5_2012",7
"LHI5",2012,"Seriatopora caliendrum",10,3.16227766016838,-32,159,7,212,"LHI5_2012",7
"LHI5",2012,"Acropora hyacinthus",2,1.4142135623731,-32,159,7,288,"LHI5_2012",7
"LHI5",2012,"Montipora aequituberculata",1,1,-32,159,7,90,"LHI5_2012",7
"LHI3",2012,"Isopora cuneata",17,4.12310562561766,-32,159,7,139,"LHI3_2012",7
"LHI3",2012,"Porites heronensis",3,1.73205080756888,-32,159,7,134,"LHI3_2012",7
"LHI3",2012,"Stylophora pistillata",1,1,-32,159,7,576,"LHI3_2012",7
"LHI3",2012,"Pocillopora damicornis",3,1.73205080756888,-32,159,7,459,"LHI3_2012",7
"LHI14",2012,"Pocillopora damicornis",0,0,NA,NA,6,459,"LHI14_2012",6
"LHI15",2012,"Pocillopora damicornis",3.2,1.78885438199983,-32,159,5,459,"LHI15_2012",5
"LHI15",2012,"Porites heronensis",5.3,2.30217288664427,-32,159,5,134,"LHI15_2012",5
"LHI7",2012,"Acanthastrea hillae",2,1.4142135623731,-32,159,6,88,"LHI7_2012",6
"LHI7",2012,"Astrea curta",4,2,-32,159,6,207,"LHI7_2012",6
"LHI7",2012,"Porites heronensis",2.96666666666667,1.72240142436851,-32,159,6,134,"LHI7_2012",6
"LHI41",2012,"Isopora cuneata",16.1,4.01248052954778,-32,159,6,139,"LHI41_2012",6
"LHI41",2012,"Pocillopora damicornis",1,1,-32,159,6,459,"LHI41_2012",6
"LHI41",2012,"Porites heronensis",1.5,1.22474487139159,-32,159,6,134,"LHI41_2012",6
"LHI41",2012,"Stylophora pistillata",0,0,NA,NA,6,576,"LHI41_2012",6
"LHI49",2012,"Isopora cuneata",5.6,2.36643191323985,-32,159,6,139,"LHI49_2012",6
"LHI49",2012,"Pocillopora damicornis",1.33333333333333,1.15470053837925,-32,159,6,459,"LHI49_2012",6
"LHI49",2012,"Stylophora pistillata",1,1,-32,159,6,576,"LHI49_2012",6
"LHI49",2012,"Porites heronensis",4.025,2.00624026477389,-32,159,6,134,"LHI49_2012",6
"LHI49",2012,"Acropora glauca",1,1,-32,159,6,98,"LHI49_2012",6
